dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A001,7,5,88,76,0.2631578947368421,0.2,0.23157894736842105,0.7407407407407407,0.7421052631578948,-0.8150100111961365,0.37933299972792156,0.0007335308543622011,0.05941599920333829,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A003,3,2,92,79,0.0759493670886076,0.0,0.0379746835443038,0.9259259259259259,0.9430379746835443,-1.4151811599731445,0.23599999985890463,0.00038271604420582727,0.03099999958067201,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A004,3,3,92,78,0.11538461538461539,0.0,0.057692307692307696,0.8888888888888888,0.923076923076923,-0.790014922618866,0.3979579996666871,0.00043416050040697747,0.035167000532965176,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A005,4,3,91,78,0.21794871794871795,0.3333333333333333,0.27564102564102566,0.7777777777777778,0.8888888888888888,-1.2519621849060059,0.23391600007016677,0.000407925912396074,0.03304199890408199,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A006,3,2,92,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.5126582278481013,-1.2801061868667603,0.2049589984380873,0.0003317901122679842,0.02687499909370672,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A008,3,3,92,78,0.19230769230769232,0.3333333333333333,0.26282051282051283,0.8024691358024691,0.9358974358974359,-1.5457096099853516,0.20616700021491852,0.00032767901656269614,0.026542000341578387,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A009,3,3,92,78,0.5128205128205128,0.6666666666666666,0.5897435897435896,0.48148148148148145,0.37179487179487175,-1.8399301767349243,0.21316699894669,0.00033128393916729377,0.026833999072550796,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A010,4,3,91,78,0.02564102564102564,0.0,0.01282051282051282,0.9753086419753086,0.9743589743589743,-0.5591865181922913,0.20095800027775113,0.0003492839621483452,0.02829200093401596,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A011,3,2,92,79,0.7088607594936709,0.5,0.6044303797468354,0.2962962962962963,0.15189873417721517,-1.7439336776733398,0.19791700105997734,0.00029938270511784026,0.024249999114545062,2033860608,2033860608
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,python_numpy_template_knn,A013,2,2,93,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.5316455696202531,-1.1944141387939453,0.1965000010386575,0.00029116049125060486,0.023583999791298993,2033860608,2033860608
