dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,completed_at
dsl,dsl,current,Template kNN Distance,s002,train_and_infer,170.41416699976253,5.151416999069625,165.2627500006929,0.016202230392224796,216989696.0,725925888.0,,,,
dsl,dsl,current,Template kNN Distance,s003,train_and_infer,124.69304099795409,6.184665999171557,118.50837499878253,0.011618468137135542,725925888.0,742801408.0,,,,
dsl,dsl,current,Template kNN Distance,s004,train_and_infer,134.11362399892823,5.700665999029297,128.41295799989894,0.012589505686264602,742801408.0,759218176.0,,,,
dsl,dsl,current,Template kNN Distance,s005,train_and_infer,116.17750000186788,6.016667000949383,110.1608330009185,0.010800081666756715,759218176.0,759283712.0,,,,
dsl,dsl,current,Template kNN Distance,s007,train_and_infer,121.13020899960247,6.076084000596893,115.05412499900558,0.011279816176373096,759283712.0,768196608.0,,,,
dsl,dsl,current,Template kNN Distance,s008,train_and_infer,114.6318759983842,5.492583999512135,109.13929199887207,0.010699930588124712,768196608.0,768196608.0,,,,
dsl,dsl,current,Template kNN Distance,s010,train_and_infer,151.15937500013388,5.10937499893771,146.05000000119617,0.014318627451097663,768196608.0,793001984.0,,,,
dsl,dsl,current,Template kNN Distance,s011,train_and_infer,117.89466600203014,5.741500001022359,112.15316600100778,0.01099540843147135,793001984.0,793001984.0,,,,
dsl,dsl,current,Template kNN Distance,s012,train_and_infer,116.9679160011583,5.1471660008246545,111.82075000033365,0.010962818627483691,793001984.0,793001984.0,,,,
dsl,dsl,current,Template kNN Distance,s013,train_and_infer,133.8646259991947,5.130416999236331,128.73420899995835,0.01262100088234886,793001984.0,809828352.0,,,,
dsl,dsl,current,Template kNN Distance,s015,train_and_infer,116.58816699855379,5.019124999307678,111.56904199924611,0.010938141372475108,809828352.0,809828352.0,,,,
dsl,dsl,current,Template kNN Distance,s016,train_and_infer,112.78799999854527,5.517249999684282,107.27074999886099,0.010516740195966764,809828352.0,809828352.0,,,,
dsl,dsl,current,Template kNN Distance,s017,train_and_infer,113.37983300109045,5.565333000049577,107.81450000104087,0.01057004901970989,809828352.0,809828352.0,,,,
dsl,dsl,current,Template kNN Distance,s018,train_and_infer,117.98679099956644,5.931874999077991,112.05491600048845,0.010985776078479259,809828352.0,809828352.0,,,,
dsl,dsl,current,Template kNN Distance,s019,train_and_infer,116.01950000112993,5.3129170009924565,110.70658300013747,0.010853586568640928,809828352.0,816611328.0,,,,
dsl,dsl,current,Template kNN Distance,s020,train_and_infer,120.19170700114046,5.69391600038216,114.4977910007583,0.011225273627525323,816611328.0,825114624.0,,,,
dsl,dsl,current,Template kNN Distance,s021,train_and_infer,110.64966699996148,5.042624999987311,105.60704199997417,0.010353631568624918,825114624.0,825884672.0,,,,
dsl,dsl,current,Template kNN Distance,s022,train_and_infer,112.20599999978731,4.949374999341671,107.25662500044564,0.010515355392200552,825884672.0,826245120.0,,,,
dsl,dsl,current,Template kNN Distance,s024,train_and_infer,113.37479100075143,5.576499999733642,107.79829100101779,0.010568459902060567,826245120.0,826572800.0,,,,
dsl,dsl,current,Template kNN Distance,s025,train_and_infer,112.66970900032902,5.631709000226692,107.03800000010233,0.010493921568637482,826572800.0,826900480.0,,,,
dsl,dsl,current,Template kNN Distance,s026,train_and_infer,112.33479200200236,4.7352500005217735,107.59954200148059,0.010548974706027508,826900480.0,827260928.0,,,,
dsl,dsl,current,Template kNN Distance,s027,train_and_infer,117.80583299878344,4.888542000117013,112.91729099866643,0.011070322646928081,827260928.0,827621376.0,,,,
dsl,dsl,current,Template kNN Distance,s028,train_and_infer,113.69041699981608,5.525958998987335,108.16445800082874,0.01060435862753223,827621376.0,828424192.0,,,,
dsl,dsl,current,Template kNN Distance,s029,train_and_infer,111.63295799997286,5.485042000145768,106.14791599982709,0.010406658431355598,828424192.0,828751872.0,,,,
dsl,dsl,current,Template kNN Distance,s030,train_and_infer,113.7894170024083,5.4550830009247875,108.33433400148351,0.010621013137400345,828751872.0,829079552.0,,,,
dsl,dsl,current,Template kNN Distance,s031,train_and_infer,112.441041999773,5.325416999767185,107.11562500000582,0.010501531862745668,829079552.0,829407232.0,,,,
dsl,dsl,current,Template kNN Distance,s032,train_and_infer,116.20225099795789,4.913291999400826,111.28895899855706,0.010910682254760497,829407232.0,829767680.0,,,,
dsl,dsl,current,Template kNN Distance,s033,train_and_infer,111.11100000198348,5.561625001064385,105.5493750009191,0.010347977941266578,829767680.0,830128128.0,,,,
dsl,dsl,current,Template kNN Distance,s034,train_and_infer,112.68774899872369,5.94870799977798,106.73904099894571,0.010464611862641736,830128128.0,830750720.0,,,,
dsl,dsl,current,Template kNN Distance,s035,train_and_infer,111.73200000121142,5.588333000559942,106.14366700065148,0.010406241862808968,830750720.0,831324160.0,,,,
dsl,dsl,current,Template kNN Distance,s036,train_and_infer,112.22137500044482,5.416500000137603,106.80487500030722,0.010471066176500708,831324160.0,831651840.0,,,,
dsl,dsl,current,Template kNN Distance,s037,train_and_infer,112.30220799916424,6.115166999734356,106.18704099942988,0.010410494215630381,831651840.0,831979520.0,,,,
dsl,dsl,current,Template kNN Distance,s038,train_and_infer,112.14391599969531,5.412999998952728,106.73091600074258,0.01046381529419045,831979520.0,832323584.0,,,,
