dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s030,200,200,10000,10000,0.1624,0.16,0.1612,0.8376470588235294,0.8990354999999999,-0.5674360394477844,5.4550830009247875,0.010621013137400345,108.33433400148351,828751872,829079552
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s031,200,200,10000,10000,0.2457,0.245,0.24535,0.754313725490196,0.8024605,-0.4848974645137787,5.325416999767185,0.010501531862745668,107.11562500000582,829079552,829407232
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s032,200,200,10000,10000,0.415,0.415,0.415,0.585,0.64271525,-0.5091291666030884,4.913291999400826,0.010910682254760497,111.28895899855706,829407232,829767680
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s033,200,200,10000,10000,0.1341,0.135,0.13455,0.8658823529411764,0.9266179999999998,-0.8381946086883545,5.561625001064385,0.010347977941266578,105.5493750009191,829767680,830128128
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s034,200,200,10000,10000,0.27,0.27,0.27,0.73,0.8190955,-0.49582305550575256,5.94870799977798,0.010464611862641736,106.73904099894571,830128128,830750720
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s035,200,200,10000,10000,0.2944,0.295,0.29469999999999996,0.7055882352941176,0.7970135,-0.5197471976280212,5.588333000559942,0.010406241862808968,106.14366700065148,830750720,831324160
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s036,200,200,10000,10000,0.035,0.035,0.035,0.965,0.990429,-0.890420138835907,5.416500000137603,0.010471066176500708,106.80487500030722,831324160,831651840
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s037,200,200,10000,10000,0.2,0.2,0.2,0.8,0.8621719999999999,-0.468180775642395,6.115166999734356,0.010410494215630381,106.18704099942988,831651840,831979520
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s038,200,200,10000,10000,0.11,0.11,0.11,0.89,0.9377354999999999,-0.47256338596343994,5.412999998952728,0.01046381529419045,106.73091600074258,831979520,832323584
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s039,200,200,10000,10000,0.085,0.085,0.085,0.915,0.9398650000000001,-0.4273146390914917,5.719749999116175,0.010318353823487425,105.24720899957174,832323584,832651264
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s040,200,200,10000,10000,0.25,0.25,0.25,0.75,0.8144375,-0.7155491709709167,5.920917001276393,0.011063921568647321,112.85200000020268,832651264,832995328
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s041,200,200,10000,10000,0.205,0.205,0.205,0.795,0.8634447500000001,-0.7263489365577698,5.475707999721635,0.010574158529433428,107.85641700022097,832995328,833323008
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s042,200,200,10000,10000,0.055,0.055,0.055,0.945,0.970559,-0.48438894748687744,5.6576670012873365,0.010486601372487676,106.9633339993743,833323008,833650688
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s043,200,200,10000,10000,0.055,0.055,0.055,0.945,0.9843,-0.5538889765739441,5.65108400041936,0.010547450980333915,107.58399999940593,833650688,833978368
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s044,200,200,10000,10000,0.095,0.095,0.095,0.905,0.955026,-0.4756642282009125,5.670165999617893,0.01050044931385035,107.10458300127357,833978368,834306048
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s046,200,200,10000,10000,0.1875,0.19,0.18875,0.8124509803921569,0.8846139999999999,-0.4671347141265869,5.727708999984316,0.010241973039085804,104.4681249986752,834306048,834666496
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s047,200,200,10000,10000,0.2059,0.205,0.20545,0.7941176470588235,0.8454940000000001,-0.661841869354248,5.5229160007002065,0.010525870098075863,107.36387500037381,834666496,835010560
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s048,200,200,10000,10000,0.115,0.115,0.115,0.885,0.944895,-0.3866173326969147,5.6012910008576,0.01050261441181932,107.12666700055706,835010560,835338240
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s049,200,200,10000,10000,0.165,0.165,0.165,0.835,0.8795695,-0.6625527143478394,5.404957999417093,0.010328872548972653,105.35449999952107,835338240,835665920
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s050,200,200,10000,10000,0.1732,0.175,0.17409999999999998,0.826764705882353,0.9002600000000002,-0.41283106803894043,5.515167000339716,0.010524767156882673,107.35262500020326,835665920,835993600
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s051,200,200,10000,10000,0.235,0.235,0.235,0.765,0.8676404999999999,-0.44070398807525635,5.627124999591615,0.01076312499992805,109.78387499926612,835993600,836321280
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s052,200,200,10000,10000,0.04,0.04,0.04,0.96,0.9862565,-0.6153516173362732,5.794749999040505,0.010391074411731382,105.9889589996601,836321280,836829184
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s053,200,200,10000,10000,0.0895,0.09,0.08975,0.9104901960784314,0.9708825,-0.47538185119628906,5.249834001006093,0.010765522843119506,109.80833299981896,836829184,837189632
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s054,200,200,10000,10000,0.23,0.23,0.23,0.77,0.8330934999999999,-0.452559232711792,5.662374998792075,0.010730947745055435,109.45566699956544,837189632,837517312
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s055,200,200,10000,10000,0.13,0.13,0.13,0.87,0.9519430000000001,-0.43527257442474365,5.788708998807124,0.010496062156972567,107.05983400112018,837517312,837844992
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s056,200,200,10000,10000,0.215,0.215,0.215,0.785,0.8736189999999999,-0.46351706981658936,5.252375000054599,0.010557683823636206,107.6883750010893,837844992,838172672
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s057,200,200,10000,10000,0.2,0.2,0.2,0.8,0.8960065,-0.46311652660369873,5.801792000056594,0.010156732058770586,103.59866699945997,838172672,838516736
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s002,200,200,10000,10000,0.29,0.29,0.29,0.71,0.7732414999999999,-0.488875150680542,5.422542000815156,0.033929918333217526,346.08516699881875,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s003,200,200,10000,10000,0.45,0.45,0.45,0.55,0.62108,-0.644280731678009,5.707459000404924,0.033601617646947454,342.736499998864,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s004,200,200,10000,10000,0.125,0.125,0.125,0.875,0.9368755,-0.4477567672729492,4.756959000587813,0.033541393039223634,342.12220900008106,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s005,200,200,10000,10000,0.0605,0.06,0.06025,0.9395098039215686,0.963205,-0.5089561939239502,5.325500000253669,0.03416042068630643,348.4362910003256,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s007,200,200,10000,10000,0.2295,0.23,0.22975,0.7704901960784314,0.8536455,-0.42387333512306213,5.802834000860457,0.03387886029397087,345.5643749985029,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s008,200,200,10000,10000,0.15,0.15,0.15,0.85,0.9308305,-0.4068606495857239,5.453916999613284,0.03559243872551437,363.04287500024657,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s010,200,200,10000,10000,0.0583,0.06,0.059149999999999994,0.9416666666666667,0.9829085,-0.37031257152557373,5.657250001604552,0.03386846813715666,345.4583749989979,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s011,200,200,10000,10000,0.2177,0.22,0.21885,0.7822549019607843,0.8556134999999999,-0.5316941738128662,5.062416999862762,0.033785612745037615,344.6132499993837,893894656,893894656
dsl,dsl,current,dsl_current_h_dd_ud,Device-Aware Template kNN,python_numpy_device_aware_knn,s012,200,200,10000,10000,0.1128,0.115,0.1139,0.8871568627450981,0.9603755,-0.59538733959198,5.732083000111743,0.0338766013727068,345.54133400160936,893894656,893894656
