dataset,source_dataset,feature_mode,feature_set,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,0.3601823421476985,0.32530864197530857,0.3427454920615037,0.6406035665294925,0.677136875100455,0.00021351531771080905,0.017294740734575532,0.06145670365893036,547864576.0,547864576.0,Not reached,27
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,0.26529283951669025,0.2419753086419753,0.25363407407933286,0.7357110196616369,0.7758174576429075,0.0072151545498228544,0.5844275185356511,92.96444296294929,549161946.074074,549212311.7037038,Not reached,27
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,1D-CNN TensorFlow,python_tensorflow_keras,0.4671508400466873,0.49691358024691357,0.4820322101468005,0.5317786922725194,0.5575230209237169,0.798030634659544,64.64048140742307,836.0935308518223,807579496.2962962,809376274.962963,Not reached,27
