dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,A008,3,3,65,52,0.019230769230769232,0,0.009615384615384616,0.9818181818181818,0.9871794871794872,0.19400636310177666,6.199999999254942,0.012727272781458769,0.7000000029802322,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,A009,3,3,65,52,0.038461538461538464,0,0.019230769230769232,0.9636363636363636,0.9871794871794872,0.14800651818907315,6.299999997019768,0.021818181872367857,1.2000000029802322,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,A010,4,3,64,52,0.3269230769230769,0.3333333333333333,0.3301282051282051,0.6727272727272727,0.7756410256410257,0.026667592167248545,7.600000001490116,0.010909090868451378,0.5999999977648258,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,A011,3,2,65,53,0.49056603773584906,0.5,0.49528301886792453,0.509090909090909,0.49528301886792453,0.012389742622395575,12.399999998509884,0.0072727273133668035,0.4000000022351742,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,A013,2,2,66,53,0,0,0,1,1,0.07756982088839233,7.399999998509884,0.010909090936183929,0.6000000014901161,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,M001,3,2,65,53,0.03773584905660377,0,0.018867924528301886,0.9636363636363636,0.9622641509433962,0.039023084401561006,5.399999998509884,0.010909090936183929,0.6000000014901161,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,M001_1,2,2,66,53,0,0,0,1,1,0.29706822684732254,6.600000001490116,0.00909090909090909,0.5,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,P001,4,3,64,52,0.3076923076923077,0.3333333333333333,0.3205128205128205,0.6909090909090909,0.8237179487179487,0.03415635476607334,4.900000002235174,0.007272727245634252,0.3999999985098839,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,P003,1,1,67,54,0.16666666666666666,0,0.08333333333333333,0.8363636363636363,0.8333333333333334,0.03233815404752278,5.699999999254942,0.007272727245634252,0.3999999985098839,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,P007,3,3,65,52,0.09615384615384616,0,0.04807692307692308,0.9090909090909091,0.9551282051282052,0.06641367179119013,6.099999997764826,0.00909090909090909,0.5,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,P008,6,5,62,50,0.76,0.8,0.78,0.23636363636363636,0.348,0.015886375477262953,5.800000000745058,0.012727272713726217,0.6999999992549419,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,P009,8,6,60,49,0.4897959183673469,0.5,0.49489795918367346,0.509090909090909,0.5272108843537415,0.10033104117026384,6.099999997764826,0.010909090936183929,0.6000000014901161,not_available,not_available,not_available,not_available
collected_data_analysis,LightGBM Classifier,browser_lightgbm_histogram_leafwise,P010,3,3,65,52,0.34615384615384615,0.3333333333333333,0.33974358974358976,0.6545454545454545,0.6826923076923077,0.016757388901381686,5.600000001490116,0.007272727245634252,0.3999999985098839,not_available,not_available,not_available,not_available
