attempt_id,hold_mean_ms,hold_std_ms,down_down_mean_ms,down_down_std_ms,up_down_mean_ms,up_down_std_ms,up_up_mean_ms,down_up_mean_ms,chars_per_second,backspace_count,repeat_count,composition_ratio,keyup_coverage,timing_coverage,text_length
eb5c9b33-7c7f-4fbd-9886-c9bb47b85c9c,109.97006369358415,25.92945467316174,95.64230769242232,62.85130196464479,-14.113461537812,70.24447061494396,95.80961538450076,205.56538461473508,3.5848004461099183,8.0,0.0,0.2682660850599782,1.0,1.0,54.0
d60e4012-fde9-4422-8798-b038385cddbb,120.64074074090631,23.49201218468457,85.57289719609457,56.29873684099895,-35.20093457971778,61.54752816728684,85.46168224304635,206.2355140188587,4.750234812749698,0.0,0.0,0.28818897637795277,1.0,1.0,44.0
8fe1db6c-e174-4fff-ae88-21b12f560ad2,113.44225352246997,25.357065088327833,109.92269503541873,124.12613086898764,-3.6106382993096156,127.10418282269973,109.72411347513503,223.25744680986338,3.397501234000686,0.0,0.0,0.2799043062200957,1.0,1.0,53.0
2bd5d51b-3dab-4f23-b677-457230665211,119.40649038366973,27.163092380589067,161.6313253012048,228.70912390244618,42.22024096480335,230.03613540095452,161.60771084334476,281.01879517974623,2.6192619931690837,14.0,0.0,0.25064710957722175,1.0,1.0,176.0
328be900-5138-4ffa-9b04-a494febfa306,115.82285714289364,27.966837650187475,125.43619631904278,156.3664224050517,9.617791411030757,158.7406300803618,125.47423312884655,241.29263803685856,3.2055297829508413,6.0,0.0,0.2653352353780314,1.0,1.0,197.0
636aa20f-cdce-43aa-8586-cd1cbcdd771e,115.06475409902022,27.678585325070273,150.02520547946023,332.4980432453697,34.925068492513816,335.840334232851,150.03013698630136,265.13027397324777,1.9833284714236623,38.0,0.0,0.2775403608736942,1.0,1.0,240.0
b6ff9ec1-7763-41c2-956c-8ef64017f828,151.06643835485798,29.815963531629887,130.00758620706097,115.40000901700951,-21.359310343347747,118.80049953106534,129.8710344832519,281.23793103366063,2.8483115841851236,6.0,0.0,0.2706855791962175,1.0,1.0,54.0
669569e3-374d-45ed-aac1-5b881f82eccb,146.9962264175685,27.188683566450628,114.63047618979499,83.91574245958721,-32.65714286054884,92.8110213676088,114.24761904761905,261.53523809796286,3.6206243931623923,0.0,0.0,0.2836767036450079,1.0,1.0,44.0
7d2f8995-389e-42cb-9a72-25b8d7cb6b20,113.32946298949432,26.599865553386397,182.21137026234723,578.6026776292208,68.77682215774719,580.2590880326094,182.12084548105824,295.5553935856583,1.462383964990111,21.0,0.0,0.27704356338717573,1.0,1.0,241.0
604805e1-d15c-4286-9af8-efc4b7e8acbe,147.57187499850988,34.13806970187486,109.1118110239975,70.8175893679268,-38.416535431005826,74.84897000485465,108.76614173284666,256.29448818785,3.7829311292213172,0.0,0.0,0.28272251308900526,1.0,1.0,53.0
fb85bc68-e20d-4876-a690-97dd7704cf17,111.22587064605447,28.624780993681533,165.07581047383033,484.525367663297,53.84688279374579,487.4283081216471,165.06633416457368,276.29526184465817,2.2019322709762235,6.0,0.0,0.2762596071733561,1.0,1.0,146.0
a0922f95-3798-48b2-b068-ff3bcdc4433a,150.33022112752647,34.20720925895569,197.16157635444492,241.19176547854178,46.92758620959785,240.39214376642647,197.28399014795943,347.5179802928065,2.243354063586625,6.0,0.0,0.24966916629907365,1.0,1.0,180.0
539493b3-39a1-420c-b6be-36edc41963f8,113.20496453862664,25.22460896460286,105.25571428579944,112.85475701698815,-8.220714285331113,116.80008347404694,104.80785714281457,218.2842857139451,3.6459388292485313,6.0,0.0,0.26968973747016706,1.0,1.0,54.0
09b35504-d51b-457f-a28d-6e7dcde662be,152.06045081942784,40.012400912509946,155.806365503178,185.77869311131826,3.8242299796619457,188.95834147787676,155.92094455852157,307.9030800820376,2.6029376386105314,4.0,0.0,0.262987012987013,1.0,1.0,198.0
993d0bed-ba6f-4341-813c-94e524a31cab,111.13214285911194,20.635584794304055,97.81981981981981,78.12159593277211,-13.644144146023569,82.34594645747825,97.3981981980908,208.8621621639342,4.024770633805514,1.0,0.0,0.282089552238806,1.0,1.0,44.0
9a16ae63-070c-4ee8-a4a2-3261851d210a,108.08153846057562,18.137737052014533,95.54806201564249,65.91333998318375,-12.795348836238993,66.74080589975422,95.07751937984496,203.42093023172646,4.274193548387097,1.0,0.0,0.277992277992278,1.0,1.0,53.0
7d7ad7af-ba89-4551-9afd-81112ff04c01,168.9749271157184,72.77394498382816,222.21140350863251,489.6833325859299,53.24356724957973,462.171063682066,222.11871345036212,391.0865497094149,1.2735056986089808,27.0,24.0,0.2677403120281832,1.0,1.0,97.0
