attempt_id,participant_id,participant_code,session_id,session_no,input_mode,role_label,status,quality_status,device_class,prompt_id,prompt_set_id,started_at,ended_at,submitted_at,raw_text_length,event_count,paired_key_count,keyup_coverage,paste_count,fixed_prompt_match
7d7ad7af-ba89-4551-9afd-81112ff04c01,fa448220-23b1-4e5b-a95c-e46a1a4ce954,M001,75cb8113-cb95-4d24-90b5-398d087802fd,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-08T13:57:43.540Z,2026-05-08T13:59:04.996Z,2026-05-08T13:59:04.996Z,97.0,1987.0,343.0,1.0,0,
9a16ae63-070c-4ee8-a4a2-3261851d210a,8ac1c0a8-5dc7-48d3-9943-7768353f7f42,A001,f0d0e3b2-deaf-4e1e-b4ac-0a481ff8dc42,1,fixed,genuine,submitted,usable,desktop,ko_fixed_003,pilot_fixed_ko_v1,2026-05-08T13:57:47.847Z,2026-05-08T13:58:03.054Z,2026-05-08T13:58:03.054Z,53.0,777.0,130.0,1.0,0,1.0
067b91cd-e0a3-4156-8c62-4e2294cc410b,8ac1c0a8-5dc7-48d3-9943-7768353f7f42,A001,f0d0e3b2-deaf-4e1e-b4ac-0a481ff8dc42,1,fixed,genuine,submitted,usable,desktop,ko_fixed_004,pilot_fixed_ko_v1,2026-05-08T13:58:06.142Z,2026-05-08T13:59:07.246Z,2026-05-08T13:59:07.246Z,176.0,2236.0,400.0,1.0,0,1.0
c2c61e58-62d4-4fa3-a109-5526ee9a498f,fa448220-23b1-4e5b-a95c-e46a1a4ce954,M001,75cb8113-cb95-4d24-90b5-398d087802fd,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-08T13:59:06.947Z,2026-05-08T14:00:25.894Z,2026-05-08T14:00:25.894Z,90.0,1568.0,268.0,1.0,0,
1e47552f-2db1-43af-9dce-fcb9f4fb5582,8ac1c0a8-5dc7-48d3-9943-7768353f7f42,A001,f0d0e3b2-deaf-4e1e-b4ac-0a481ff8dc42,1,fixed,genuine,submitted,low_quality,desktop,ko_fixed_005,pilot_fixed_ko_v1,2026-05-08T13:59:09.632Z,2026-05-08T14:00:10.237Z,2026-05-08T14:00:10.237Z,197.0,2807.0,488.0,1.0,0,0.0
2ea3a747-6059-4d9d-aa05-fbf3646f75f8,8ac1c0a8-5dc7-48d3-9943-7768353f7f42,A001,f0d0e3b2-deaf-4e1e-b4ac-0a481ff8dc42,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-08T14:00:11.723Z,2026-05-08T14:02:01.207Z,2026-05-08T14:02:01.207Z,99.0,2332.0,428.0,1.0,0,
4090e424-3e35-4af3-8c99-2a2b86bd5489,fa448220-23b1-4e5b-a95c-e46a1a4ce954,M001,75cb8113-cb95-4d24-90b5-398d087802fd,1,free,genuine,submitted,low_quality,desktop,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-08T14:00:26.751Z,2026-05-08T14:01:42.628Z,2026-05-08T14:01:42.628Z,73.0,1222.0,206.0,1.0,0,
08e8fffb-753b-4680-adc0-5ca19131456b,8ac1c0a8-5dc7-48d3-9943-7768353f7f42,A001,f0d0e3b2-deaf-4e1e-b4ac-0a481ff8dc42,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-08T14:02:03.168Z,2026-05-08T14:02:51.781Z,2026-05-08T14:02:51.781Z,121.0,2131.0,374.0,1.0,0,
07c67473-bcfe-4d77-af96-298f0da5458c,8ac1c0a8-5dc7-48d3-9943-7768353f7f42,A001,f0d0e3b2-deaf-4e1e-b4ac-0a481ff8dc42,1,free,genuine,submitted,usable,desktop,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-08T14:02:52.891Z,2026-05-08T14:03:43.062Z,2026-05-08T14:03:43.062Z,82.0,1552.0,269.0,1.0,0,
9ffea7df-c9be-4400-9d44-163441913337,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,fixed,genuine,submitted,usable,mobile,ko_fixed_001,pilot_fixed_ko_v1,2026-05-08T14:05:17.879Z,2026-05-08T14:05:49.700Z,2026-05-08T14:05:49.700Z,54.0,638.0,139.0,1.0,0,1.0
bd93a2ce-1a3f-4166-8443-44cece9446fb,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,fixed,genuine,submitted,low_quality,mobile,ko_fixed_002,pilot_fixed_ko_v1,2026-05-08T14:05:50.693Z,2026-05-08T14:06:13.032Z,2026-05-08T14:06:13.032Z,43.0,474.0,102.0,1.0,0,0.0
54a6b0fb-b7e2-40c8-a490-46f3eea51a7e,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,fixed,genuine,submitted,low_quality,mobile,ko_fixed_003,pilot_fixed_ko_v1,2026-05-08T14:06:14.211Z,2026-05-08T14:06:42.367Z,2026-05-08T14:06:42.367Z,52.0,633.0,138.0,1.0,0,0.0
ed27ed48-caac-40f4-8ded-401b3c495705,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,fixed,genuine,submitted,usable,mobile,ko_fixed_004,pilot_fixed_ko_v1,2026-05-08T14:06:43.999Z,2026-05-08T14:08:42.850Z,2026-05-08T14:08:42.850Z,176.0,1770.0,398.0,1.0,0,1.0
8803d5f2-a5ab-4031-a57f-1ab593a42dbf,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,fixed,genuine,submitted,low_quality,mobile,ko_fixed_005,pilot_fixed_ko_v1,2026-05-08T14:08:43.795Z,2026-05-08T14:10:40.217Z,2026-05-08T14:10:40.217Z,197.0,2044.0,456.0,1.0,0,0.0
27cd0d13-8c83-4433-8413-3dca47b7fd62,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,fixed,genuine,submitted,usable,mobile,ko_fixed_001,pilot_fixed_ko_v1,2026-05-08T14:10:21.055Z,2026-05-08T14:10:42.153Z,2026-05-08T14:10:42.153Z,54.0,522.0,124.0,1.0,0,1.0
875aecd2-3379-4618-9cd5-1e2f339c3afc,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,free,genuine,submitted,usable,mobile,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-08T14:10:41.387Z,2026-05-08T14:11:55.477Z,2026-05-08T14:11:55.477Z,82.0,1231.0,272.0,1.0,0,
