dataset,environmentId,label,timestamp,source,usedJSHeapSize,totalJSHeapSize,jsHeapSizeLimit,bytes
collected_data_analysis,d2f357871e71a48e,before_worker,2026-05-13T04:52:52.335Z,performance.memory,22210926,24283798,4294967296,22210926
collected_data_analysis,d2f357871e71a48e,after_worker,2026-05-13T04:54:12.212Z,performance.memory,36066954,39350534,4294967296,36066954
