dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,completed_at
mmc_enriched_features,mmc,enriched,Template kNN Distance,1,train_and_infer,242.30079200060572,76.51466700008314,165.7861250005226,0.1657861250005226,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,2,train_and_infer,194.76641699839092,69.9844579994533,124.78195899893763,0.12478195899893763,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,3,train_and_infer,195.37237499935145,71.64470799943956,123.72766699991189,0.12372766699991189,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,4,train_and_infer,184.83237399777863,73.69066599858343,111.1417079991952,0.1111417079991952,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,5,train_and_infer,178.56812399986666,69.49279100081185,109.07533299905481,0.10907533299905481,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,6,train_and_infer,172.3201250024431,67.62466700092773,104.69545800151536,0.10469545800151536,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,7,train_and_infer,169.49279200161982,66.44141700053297,103.05137500108685,0.10305137500108685,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,8,train_and_infer,176.1796669998148,69.41037499927916,106.76929200053564,0.10676929200053564,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,9,train_and_infer,169.25370800163364,66.83750000047439,102.41620800115925,0.10241620800115925,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,10,train_and_infer,171.41154099954292,67.93895800001337,103.47258299952955,0.10347258299952955,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,11,train_and_infer,172.59695700158773,66.58691600023303,106.0100410013547,0.1060100410013547,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,12,train_and_infer,173.00775100011379,65.75454199992237,107.25320900019142,0.10725320900019142,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,13,train_and_infer,170.9787920008239,67.48337499993795,103.49541700088594,0.10349541700088594,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,14,train_and_infer,172.84962499979883,70.22541699916474,102.6242080006341,0.1026242080006341,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,15,train_and_infer,178.694792000897,70.25645800058555,108.43833400031144,0.10843833400031144,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,16,train_and_infer,177.35204200107546,70.90595800036681,106.44608400070865,0.10644608400070865,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,17,train_and_infer,174.3063339999935,68.4596250011964,105.84670899879711,0.10584670899879711,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,18,train_and_infer,168.3288750009524,66.8760000007751,101.4528750001773,0.1014528750001773,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,19,train_and_infer,167.79541600226366,65.39950000114914,102.39591600111453,0.10239591600111453,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,20,train_and_infer,187.59179199878417,66.95104199934576,120.64074999943841,0.12064074999943841,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,21,train_and_infer,176.2173740007711,68.5534580006788,107.66391600009229,0.10766391600009229,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,22,train_and_infer,180.32454199965287,70.80104200031201,109.52349999934086,0.10952349999934086,2033860608.0,2033860608.0,,,,
mmc_enriched_features,mmc,enriched,Template kNN Distance,23,train_and_infer,180.17945800056623,73.9615420006885,106.21791599987773,0.10621791599987773,2033860608.0,2033860608.0,,,,
