dataset,source_dataset,feature_mode,feature_set,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph,Template kNN Distance,python_numpy_template_knn,0.4170204081632653,0.41700000000000004,0.41701020408163264,0.5829799999999999,0.5993755102040815,0.10983019918006903,109.83019918006903,68.21985330003372,2033860608.0,2033860608.0,Not reached,50
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph,Device-Aware Template kNN,python_numpy_device_aware_knn,0.4170204081632653,0.41700000000000004,0.41701020408163264,0.5829799999999999,0.5993755102040815,0.20851253331984482,208.5125333198448,67.39797905996966,2033860608.0,2033860608.0,Not reached,50
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph,PCA Mahalanobis Distance,python_sklearn_pca_mahalanobis,0.2921836734693878,0.29400000000000004,0.2930918367346939,0.7077800000000002,0.7553102040816326,0.0003128450399890426,0.31284503998904256,106.78859833999013,2033860608.0,2033860608.0,Not reached,50
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph,One-Class SVM,python_sklearn_oneclass_svm,0.22720408163265307,0.228,0.22760204081632657,0.7727799999999999,0.8143448979591836,0.0007942233600624605,0.7942233600624604,107.19568590000563,2033860608.0,2033860608.0,Not reached,50
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph,Isolation Forest,python_sklearn_isolation_forest,0.38355102040816336,0.385,0.38427551020408174,0.61642,0.6502489795918368,0.00572838497999328,5.72838497999328,175.6751149599586,2033860608.0,2033860608.0,Not reached,50
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph,Local Outlier Factor,python_sklearn_lof,0.31987755102040816,0.322,0.3209387755102041,0.6800799999999999,0.7164382653061224,0.0016937417400913546,1.6937417400913546,121.30284656013828,2033860608.0,2033860608.0,Not reached,50
