savedAt,dataset,environmentId,attemptId,deviceLabel,userAgent,platform,language,timezone,hardwareConcurrency,deviceMemory,tfjsBackend,tfjsVersion,webglAvailable,wasmAvailable,wasmSimdAvailable,wasmThreadsAvailable,crossOriginIsolated,viewportWidth,viewportHeight,devicePixelRatio
2026-05-13T04:27:56.482Z,dsl,d2f357871e71a48e,2026-05-13T04-27-56Z-e4f049d4,MacIntel-ko-KR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",MacIntel,ko-KR,Asia/Seoul,7,0.5,webgl,4.22.0,true,true,false,false,false,1512,745,2
2026-05-13T04:50:19.519Z,mmc,d2f357871e71a48e,2026-05-13T04-50-19Z-f425c5ac,MacIntel-ko-KR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",MacIntel,ko-KR,Asia/Seoul,7,0.5,webgl,4.22.0,true,true,false,false,false,1512,745,2
2026-05-13T04:54:12.380Z,collected_data_analysis,d2f357871e71a48e,2026-05-13T04-54-12Z-0055acf4,MacIntel-ko-KR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",MacIntel,ko-KR,Asia/Seoul,7,0.5,webgl,4.22.0,true,true,false,false,false,1512,745,2
