dataset,source_dataset,feature_mode,feature_set,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,0.1429058823529412,0.14303921568627453,0.14297254901960785,0.8570915032679739,0.9113060441176469,5.608259705850228e-05,0.5720424899967232,0.09330727462999194,235216414.11764705,235591318.5882353,Not reached,51
dsl,dsl,current,dsl_current_h_dd_ud,LightGBM Classifier,python_lightgbm,0.04730392156862744,0.04735294117647058,0.04732843137254901,0.9526951172625913,0.983905700980392,0.0007000180238170987,7.140183842934408,385.87494692154564,266649600.0,266649600.0,100,51
dsl,dsl,current,dsl_current_h_dd_ud,1D-CNN TensorFlow,python_tensorflow_keras,0.328678431372549,0.3284313725490196,0.3285549019607843,0.6713264129181084,0.7066760539215684,0.014544041478312862,148.3492230787912,1282.7157729020566,779525019.6078432,787675577.7254902,Not reached,51
