dataset,source_dataset,feature_mode,feature_set,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects
mmc,mmc,current,mmc_flat_timing_channels_14_19,Template kNN Distance,python_numpy_template_knn,0.41971428571428576,0.42199999999999993,0.4208571428571429,0.58024,0.593869387755102,0.11898227412002597,118.98227412002598,69.7385740999016,2033860608.0,2033860608.0,Not reached,50
mmc,mmc,current,mmc_flat_timing_channels_14_19,Device-Aware Template kNN,python_numpy_device_aware_knn,0.41971428571428576,0.42199999999999993,0.4208571428571429,0.58024,0.593869387755102,0.164201751580149,164.201751580149,63.12761501987552,2033860608.0,2033860608.0,Not reached,50
mmc,mmc,current,mmc_flat_timing_channels_14_19,PCA Mahalanobis Distance,python_sklearn_pca_mahalanobis,0.29544897959183675,0.293,0.29422448979591836,0.7046000000000001,0.7486510204081632,0.00029916996001702503,0.299169960017025,98.72356587995455,2033860608.0,2033860608.0,Not reached,50
mmc,mmc,current,mmc_flat_timing_channels_14_19,One-Class SVM,python_sklearn_oneclass_svm,0.22869387755102044,0.22699999999999995,0.2278469387755102,0.77134,0.8121255102040817,0.000760309159886674,0.760309159886674,102.11732246010797,2033860608.0,2033860608.0,Not reached,50
mmc,mmc,current,mmc_flat_timing_channels_14_19,Isolation Forest,python_sklearn_isolation_forest,0.4081428571428571,0.409,0.40857142857142853,0.59184,0.6349561224489796,0.005885117539874045,5.885117539874045,172.9284125399863,2033860608.0,2033860608.0,Not reached,50
mmc,mmc,current,mmc_flat_timing_channels_14_19,Local Outlier Factor,python_sklearn_lof,0.32299999999999995,0.319,0.321,0.6770799999999998,0.7161244897959185,0.0016499884197401116,1.6499884197401116,116.10475083991332,2033860608.0,2033860608.0,Not reached,50
