dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,completed_at
mmc,mmc,current,Template kNN Distance,40,train_and_infer,260.8122089986864,115.45787499926519,145.35433399942121,0.14535433399942121,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,41,train_and_infer,199.83137499912118,75.74537499931466,124.08599999980652,0.12408599999980652,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,42,train_and_infer,168.8521669984766,65.89770799837424,102.95445900010236,0.10295445900010236,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,43,train_and_infer,160.22995799903583,65.32249999872874,94.90745800030709,0.09490745800030709,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,44,train_and_infer,164.20820800158253,63.716583001223626,100.49162500035891,0.10049162500035891,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,45,train_and_infer,174.71041699900525,71.54504199934308,103.16537499966216,0.10316537499966216,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,46,train_and_infer,159.8152909991768,62.257457999294274,97.55783299988252,0.09755783299988252,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,47,train_and_infer,203.82420799978718,69.15154099988285,134.67266699990432,0.13467266699990432,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,48,train_and_infer,163.30274999927497,67.55829099893162,95.74445900034334,0.09574445900034334,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,49,train_and_infer,166.9147079992399,68.2952919996751,98.61941599956481,0.09861941599956481,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,50,train_and_infer,187.51358299959975,79.47779200003424,108.0357909995655,0.1080357909995655,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,all,data_efficiency,6525.575042000128,,,,,,1.0,50.0,0.40797959183673477,
mmc,mmc,current,Template kNN Distance,all,data_efficiency,6987.120959000094,,,,,,2.0,50.0,0.40091836734693875,
mmc,mmc,current,Template kNN Distance,all,data_efficiency,7296.507459001077,,,,,,5.0,50.0,0.40623469387755107,
mmc,mmc,current,Template kNN Distance,all,data_efficiency,8736.057416999756,,,,,,10.0,50.0,0.4054795918367347,
mmc,mmc,current,Template kNN Distance,all,data_efficiency,11175.576708001245,,,,,,20.0,50.0,0.4208571428571429,
mmc,mmc,current,Device-Aware Template kNN,1,train_and_infer,252.45095700120146,60.868291000588215,191.58266600061324,0.19158266600061324,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,2,train_and_infer,186.83008399966639,62.33891699957894,124.49116700008744,0.12449116700008744,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,3,train_and_infer,283.25445700102136,64.56341600096493,218.69104100005643,0.21869104100005643,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,4,train_and_infer,279.7982920001232,62.201167000239366,217.59712499988382,0.21759712499988382,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,5,train_and_infer,280.2933330003725,62.3694579990115,217.923875001361,0.217923875001361,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,6,train_and_infer,276.07954099948984,62.30074999984936,213.77879099964048,0.21377879099964048,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,7,train_and_infer,278.6056250006368,69.73937499969907,208.86625000093773,0.20886625000093773,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,8,train_and_infer,274.40725099950214,64.81895899923984,209.5882920002623,0.2095882920002623,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,9,train_and_infer,276.415457999974,64.04174999988754,212.37370800008648,0.21237370800008648,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,10,train_and_infer,247.92954199983797,62.17937499968684,185.75016700015112,0.18575016700015112,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,11,train_and_infer,257.66879100228834,61.26720800057228,196.40158300171606,0.19640158300171606,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,12,train_and_infer,278.9785840013792,65.0326250015496,213.9459589998296,0.2139459589998296,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,13,train_and_infer,270.59550099875196,66.17820899919025,204.4172919995617,0.2044172919995617,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,14,train_and_infer,211.9157080014702,62.72420800087275,149.19150000059744,0.14919150000059744,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,15,train_and_infer,249.70179199954146,64.0922499987937,185.60954200074775,0.18560954200074775,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,16,train_and_infer,224.60770799989405,64.22804199974053,160.37966600015352,0.16037966600015352,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,17,train_and_infer,186.82245800118835,62.836708000759245,123.9857500004291,0.1239857500004291,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,18,train_and_infer,183.49962599859282,60.72658399898501,122.77304199960781,0.12277304199960781,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,19,train_and_infer,218.56704100173374,62.0384580015525,156.52858300018124,0.15652858300018124,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,20,train_and_infer,231.0109999980341,68.56820799839625,162.44279199963785,0.16244279199963785,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,21,train_and_infer,277.3857920001319,67.01479199909954,210.37100000103237,0.21037100000103237,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,22,train_and_infer,276.3426250003249,63.65916700087837,212.68345799944655,0.21268345799944655,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,23,train_and_infer,299.44925000017975,62.367374999666936,237.0818750005128,0.2370818750005128,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,24,train_and_infer,218.32145699954708,64.47416599985445,153.84729099969263,0.15384729099969263,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,25,train_and_infer,188.42708400006813,63.54070899942599,124.88637500064215,0.12488637500064215,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,26,train_and_infer,196.93454200023552,62.65812499987078,134.27641700036475,0.13427641700036475,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,27,train_and_infer,229.45504099880054,65.82924999929674,163.6257909995038,0.1636257909995038,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,28,train_and_infer,258.5964589998184,64.98545899921737,193.61100000060105,0.19361100000060105,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,29,train_and_infer,187.4047490000521,62.520791001588805,124.8839579984633,0.1248839579984633,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,30,train_and_infer,184.7805410016008,61.01120800121862,123.76933300038218,0.12376933300038218,2033860608.0,2033860608.0,,,,
