dataset,source_dataset,feature_mode,feature_set,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,0.16894509803921567,0.16911764705882357,0.1690313725490196,0.8310515186466745,0.8809706862745097,0.00014918149559712637,1.521651255090689,0.19907029434084417,2632728576.0,2632728576.0,Not reached,51
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,LightGBM Classifier,python_lightgbm,0.05051764705882353,0.05029411764705882,0.050405882352941175,0.9494867358708189,0.9823546029411764,0.0006498121779939345,6.628084215538133,423.92539047068567,2632728576.0,2632728576.0,100,51
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,python_tensorflow_keras,0.3667176470588235,0.3667647058823529,0.36674117647058824,0.6332814302191465,0.662611294117647,0.018392321384088625,187.60167811770395,1767.2366634314149,2741605717.3333335,2748260833.882353,Not reached,51
