dataset,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,environmentId,perceived_latency_ms,worker_elapsed_ms,completed_at
mmc,Scaled Manhattan Distance,43,train_and_infer,5.099999999627471,0.2000000011175871,4.899999998509884,0.004899999998509884,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,44,train_and_infer,5.099999999627471,0.2000000011175871,4.899999998509884,0.004899999998509884,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,45,train_and_infer,5.100000001490116,0.2000000011175871,4.900000000372529,0.004900000000372529,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,46,train_and_infer,5.100000001490116,0.2000000011175871,4.900000000372529,0.004900000000372529,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,47,train_and_infer,5.100000001490116,0.10000000149011612,5,0.005,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,48,train_and_infer,5,0.19999999925494194,4.800000000745058,0.004800000000745058,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,49,train_and_infer,5.300000000745058,0.40000000037252903,4.900000000372529,0.004900000000372529,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,50,train_and_infer,5.400000000372529,0.30000000074505806,5.099999999627471,0.005099999999627471,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,all,data_efficiency,276.5,,,,,,1,50,0.42197959183673467,,,,
mmc,Scaled Manhattan Distance,all,data_efficiency,273.80000000074506,,,,,,2,50,0.4594489795918367,,,,
mmc,Scaled Manhattan Distance,all,data_efficiency,274.19999999925494,,,,,,5,50,0.4038469387755102,,,,
mmc,Scaled Manhattan Distance,all,data_efficiency,275.90000000037253,,,,,,10,50,0.3657244897959185,,,,
mmc,Scaled Manhattan Distance,all,data_efficiency,280.40000000037253,,,,,,20,50,0.3311428571428571,,,,
mmc,LightGBM Classifier,1,train_and_infer,3596.0999999996275,3587.5999999996275,8.5,0.0085,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,2,train_and_infer,3580.699999999255,3573.699999999255,7,0.007,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,3,train_and_infer,2854.89999999851,2847.5999999996275,7.299999998882413,0.007299999998882413,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,4,train_and_infer,3770.199999999255,3762.5,7.699999999254942,0.007699999999254942,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,5,train_and_infer,2705.7000000011176,2697.7000000011176,8,0.008,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,6,train_and_infer,2447.7000000011176,2438.4000000003725,9.300000000745058,0.009300000000745058,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,7,train_and_infer,2400.199999999255,2392,8.199999999254942,0.008199999999254942,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,8,train_and_infer,3314.199999999255,3305,9.199999999254942,0.009199999999254941,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,9,train_and_infer,2654.4000000003725,2647.199999999255,7.200000001117587,0.007200000001117587,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,10,train_and_infer,2800.0999999996275,2791,9.099999999627471,0.00909999999962747,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,11,train_and_infer,2644.5,2635.4000000003725,9.099999999627471,0.00909999999962747,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,12,train_and_infer,2516.5,2506.5,10,0.01,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,13,train_and_infer,2242.0999999996275,2233.9000000003725,8.199999999254942,0.008199999999254942,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,14,train_and_infer,2437.9000000003725,2429.4000000003725,8.5,0.0085,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,15,train_and_infer,2853.300000000745,2843.800000000745,9.5,0.0095,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,16,train_and_infer,3144.0999999996275,3135.2999999988824,8.800000000745058,0.008800000000745057,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,17,train_and_infer,2576.4000000003725,2567.7000000011176,8.699999999254942,0.008699999999254943,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,18,train_and_infer,3497.5,3488.4000000003725,9.099999999627471,0.00909999999962747,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,19,train_and_infer,2701,2692.199999999255,8.800000000745058,0.008800000000745057,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,20,train_and_infer,2511.9000000003725,2502.9000000003725,9,0.009,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,21,train_and_infer,2780.4000000003725,2770.699999999255,9.700000001117587,0.009700000001117587,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,22,train_and_infer,2706.5,2698.0999999996275,8.400000000372529,0.00840000000037253,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,23,train_and_infer,2859,2850.2999999988824,8.700000001117587,0.008700000001117586,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,24,train_and_infer,2500,2491.0999999996275,8.900000000372529,0.008900000000372528,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,25,train_and_infer,3754.7999999988824,3745.5,9.299999998882413,0.009299999998882412,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,26,train_and_infer,2544.9000000003725,2536.0999999996275,8.800000000745058,0.008800000000745057,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,27,train_and_infer,3230.300000000745,3221.800000000745,8.5,0.0085,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,28,train_and_infer,3403,3395.2999999988824,7.700000001117587,0.007700000001117587,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,29,train_and_infer,2310.0999999996275,2302.0999999996275,8,0.008,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,30,train_and_infer,2554.699999999255,2546.2999999988824,8.400000000372529,0.00840000000037253,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,31,train_and_infer,3715.2999999988824,3707,8.299999998882413,0.008299999998882413,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,32,train_and_infer,2902.300000000745,2894.5,7.800000000745058,0.007800000000745058,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,33,train_and_infer,3079.7000000011176,3070.7000000011176,9,0.009,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,34,train_and_infer,3263.2999999988824,3254.39999999851,8.900000000372529,0.008900000000372528,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,35,train_and_infer,3888.9000000003725,3880.9000000003725,8,0.008,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,36,train_and_infer,3273.9000000003725,3263.9000000003725,10,0.01,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,37,train_and_infer,3489.800000000745,3479.9000000003725,9.900000000372529,0.00990000000037253,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,38,train_and_infer,3593,3584.9000000003725,8.099999999627471,0.008099999999627471,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,39,train_and_infer,2629.7999999988824,2621.199999999255,8.599999999627471,0.008599999999627472,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,40,train_and_infer,3191.2000000011176,3182.5,8.700000001117587,0.008700000001117586,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,41,train_and_infer,2986.5,2977.7000000011176,8.799999998882413,0.008799999998882414,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,42,train_and_infer,2830.199999999255,2822.699999999255,7.5,0.0075,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,43,train_and_infer,3013.7999999970198,3003.89999999851,9.899999998509884,0.009899999998509884,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,44,train_and_infer,2511.5999999996275,2502.5,9.099999999627471,0.00909999999962747,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,45,train_and_infer,2590.4000000003725,2582.300000000745,8.099999999627471,0.008099999999627471,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,46,train_and_infer,3096.7999999988824,3085.7999999988824,11,0.011,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,47,train_and_infer,2865.4000000003725,2855.7000000011176,9.699999999254942,0.009699999999254942,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,48,train_and_infer,2763.300000000745,2754.4000000003725,8.900000000372529,0.008900000000372528,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,49,train_and_infer,2913,2905.2000000011176,7.799999998882413,0.007799999998882413,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,50,train_and_infer,3217.300000000745,3207.7000000011176,9.599999999627471,0.00959999999962747,not_available,not_available,,,,,,,
mmc,LightGBM Classifier,all,data_efficiency,79538,,,,,,1,50,0.451642857142857,,,,
mmc,LightGBM Classifier,all,data_efficiency,86513.39999999851,,,,,,2,50,0.442969387755102,,,,
mmc,LightGBM Classifier,all,data_efficiency,93110.19999999925,,,,,,5,50,0.4101632653061224,,,,
mmc,LightGBM Classifier,all,data_efficiency,110263.90000000037,,,,,,10,50,0.40181632653061217,,,,
mmc,LightGBM Classifier,all,data_efficiency,148292.59999999963,,,,,,20,50,0.32180612244897966,,,,
mmc,1D-CNN TFJS,1,train_and_infer,3986.4000000003725,3279.4000000003725,707,0.707,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,2,train_and_infer,1756.199999999255,1715.7999999988824,40.40000000037253,0.04040000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,3,train_and_infer,1743.4000000003725,1703.800000000745,39.59999999962747,0.03959999999962747,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,4,train_and_infer,1766.300000000745,1726.800000000745,39.5,0.0395,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,5,train_and_infer,1763.2000000011176,1719.9000000003725,43.30000000074506,0.043300000000745055,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,6,train_and_infer,1755.5999999996275,1715.300000000745,40.29999999888241,0.04029999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,7,train_and_infer,1752.7999999988824,1713,39.79999999888241,0.03979999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,8,train_and_infer,1763.199999999255,1717.7999999988824,45.40000000037253,0.04540000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,9,train_and_infer,1742.699999999255,1704.300000000745,38.399999998509884,0.03839999999850988,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,10,train_and_infer,1760.1000000014901,1718,42.100000001490116,0.04210000000149012,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,11,train_and_infer,1769.0999999996275,1730.3999999985099,38.70000000111759,0.03870000000111759,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,12,train_and_infer,1752.5,1714.7999999988824,37.70000000111759,0.03770000000111759,not_available,not_available,,,,,,,
