dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
mmc,Scaled Manhattan Distance,browser_worker,28,20,20,980,980,0.2857142857142857,0.3,0.2928571428571428,0.714,0.7604591836734694,-1738.5828963415413,0.09999999962747097,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,29,20,20,980,980,0.32448979591836735,0.3,0.31224489795918364,0.676,0.7615306122448979,-1360.9433072308148,0.19999999925494194,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,30,20,20,980,980,0.33979591836734696,0.35,0.3448979591836735,0.66,0.6885714285714286,-1308.427830560957,0.19999999925494194,0.004800000000745058,4.800000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,31,20,20,980,980,0.2,0.2,0.2,0.8,0.8140816326530612,-1327.7274297432882,0.19999999925494194,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,32,20,20,980,980,0.4091836734693878,0.4,0.4045918367346939,0.591,0.5353571428571429,-1364.0639921850138,0.19999999925494194,0.004800000000745058,4.800000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,33,20,20,980,980,0.3,0.3,0.3,0.7,0.754030612244898,-1378.3679742103004,0.19999999925494194,0.004700000001117587,4.700000001117587,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,34,20,20,980,980,0.4,0.4,0.4,0.6,0.6692857142857143,-1531.2000166413657,0.19999999925494194,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,35,20,20,980,980,0.2,0.2,0.2,0.8,0.8636224489795918,-1554.764020756811,0.19999999925494194,0.005100000001490116,5.100000001490116,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,36,20,20,980,980,0.21020408163265306,0.2,0.20510204081632655,0.79,0.8388265306122449,-1751.434216579357,0.30000000074505806,0.004699999999254942,4.699999999254942,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,37,20,20,980,980,0.5622448979591836,0.55,0.5561224489795918,0.438,0.4610204081632653,-1221.3156093906384,0.2000000011175871,0.004799999998882413,4.799999998882413,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,38,20,20,980,980,0.39591836734693875,0.4,0.3979591836734694,0.604,0.7196938775510204,-1991.668060614506,0.2000000011175871,0.004899999998509884,4.899999998509884,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,39,20,20,980,980,0.27448979591836736,0.25,0.2622448979591837,0.726,0.7403571428571428,-1407.1164019791852,0.2000000011175871,0.004899999998509884,4.899999998509884,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,40,20,20,980,980,0.2571428571428571,0.25,0.25357142857142856,0.743,0.7840816326530612,-1211.2606489659272,0.19999999925494194,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,41,20,20,980,980,0.4030612244897959,0.4,0.40153061224489794,0.597,0.5104591836734694,-1397.3747648824665,0.19999999925494194,0.004800000000745058,4.800000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,42,20,20,980,980,0.15,0.15,0.15,0.85,0.9054081632653062,-1530.35575683198,0.09999999962747097,0.005200000001117587,5.200000001117587,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,43,20,20,980,980,0.3,0.3,0.3,0.7,0.7091836734693877,-1163.0698808901845,0.2000000011175871,0.004899999998509884,4.899999998509884,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,44,20,20,980,980,0.24489795918367346,0.25,0.24744897959183673,0.755,0.7613265306122449,-1287.664406567444,0.2000000011175871,0.004899999998509884,4.899999998509884,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,45,20,20,980,980,0.25,0.25,0.25,0.75,0.8005612244897959,-1528.341122427104,0.2000000011175871,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,46,20,20,980,980,0.5469387755102041,0.55,0.5484693877551021,0.453,0.4610714285714286,-1323.7829437809555,0.2000000011175871,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,47,20,20,980,980,0.45,0.45,0.45,0.55,0.5068877551020409,-1607.7121682324694,0.10000000149011612,0.005,5,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,48,20,20,980,980,0.45,0.45,0.45,0.55,0.6194387755102041,-1364.7686293685083,0.19999999925494194,0.004800000000745058,4.800000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,49,20,20,980,980,0.2,0.2,0.2,0.8,0.8343367346938776,-1363.9288588675854,0.40000000037252903,0.004900000000372529,4.900000000372529,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,50,20,20,980,980,0.28775510204081634,0.3,0.29387755102040813,0.712,0.7788265306122449,-1274.0576945898463,0.30000000074505806,0.005099999999627471,5.099999999627471,not_available,not_available,not_available,not_available
mmc,LightGBM Classifier,browser_lightgbm_histogram_leafwise,1,20,20,980,980,0.2,0.2,0.2,0.8,0.8555102040816327,0.009852984386945488,3587.5999999996275,0.0085,8.5,not_available,not_available,not_available,not_available
mmc,LightGBM Classifier,browser_lightgbm_histogram_leafwise,2,20,20,980,980,0.1653061224489796,0.15,0.1576530612244898,0.835,0.9116836734693877,0.008597769117977518,3573.699999999255,0.007,7,not_available,not_available,not_available,not_available
mmc,LightGBM Classifier,browser_lightgbm_histogram_leafwise,3,20,20,980,980,0.3040816326530612,0.3,0.30204081632653057,0.696,0.711173469387755,0.012417232447024128,2847.5999999996275,0.007299999998882413,7.299999998882413,not_available,not_available,not_available,not_available
mmc,LightGBM Classifier,browser_lightgbm_histogram_leafwise,4,20,20,980,980,0.19183673469387755,0.2,0.1959183673469388,0.808,0.8804591836734694,0.0076121110403927624,3762.5,0.007699999999254942,7.699999999254942,not_available,not_available,not_available,not_available
mmc,LightGBM Classifier,browser_lightgbm_histogram_leafwise,5,20,20,980,980,0.25,0.25,0.25,0.75,0.8346938775510204,0.01668001433231294,2697.7000000011176,0.008,8,not_available,not_available,not_available,not_available
