dataset,environmentId,label,timestamp,source,usedJSHeapSize,totalJSHeapSize,jsHeapSizeLimit,bytes
mmc,d2f357871e71a48e,before_worker,2026-05-13T04:28:39.766Z,performance.memory,22366879,24582159,4294967296,22366879
mmc,d2f357871e71a48e,after_worker,2026-05-13T04:50:19.316Z,performance.memory,22012642,23652178,4294967296,22012642
