dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
dsl,Scaled Manhattan Distance,browser_worker,s033,200,200,10000,10000,0.075,0.075,0.075,0.925,0.96549,-29.206437793464648,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s034,200,200,10000,10000,0.305,0.305,0.305,0.695,0.7715135,-25.418532931533075,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s035,200,200,10000,10000,0.2162,0.215,0.2156,0.7838235294117647,0.8739345,-29.64237631716702,0,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s036,200,200,10000,10000,0.0009,0,0.00045,0.9991176470588236,0.999991,-38.53381628413433,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s037,200,200,10000,10000,0.2157,0.215,0.21534999999999999,0.7843137254901961,0.852689,-27.713811209906343,0,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s038,200,200,10000,10000,0.0584,0.06,0.0592,0.9415686274509804,0.9706955,-22.407757572507823,0,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s039,200,200,10000,10000,0.09,0.09,0.09,0.91,0.945622,-30.07413142961816,0.10000000149011612,0.000039215686128419986,0.3999999985098839,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s040,200,200,10000,10000,0.125,0.125,0.125,0.875,0.9335,-26.93940355632738,0,0.000039215686128419986,0.3999999985098839,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s041,200,200,10000,10000,0.15,0.15,0.15,0.85,0.9164715,-25.637862261644308,0,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s042,200,200,10000,10000,0.0489,0.05,0.04945,0.951078431372549,0.988279,-30.50195752762502,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s043,200,200,10000,10000,0.015,0.015,0.015,0.985,0.99545,-31.00476963636982,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s044,200,200,10000,10000,0.06,0.06,0.06,0.94,0.980224,-27.844946710328028,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s046,200,200,10000,10000,0.1753,0.175,0.17515,0.8247058823529412,0.9011865,-23.938833910908247,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s047,200,200,10000,10000,0.25,0.25,0.25,0.75,0.821735,-27.64317533272598,0.09999999962747097,0.00002941176477892726,0.30000000074505806,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s048,200,200,10000,10000,0.105,0.105,0.105,0.895,0.9541525,-25.393446933665608,0,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s049,200,200,10000,10000,0.0329,0.035,0.03395,0.9670588235294117,0.988014,-26.349365651180012,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s050,200,200,10000,10000,0.16,0.16,0.16,0.84,0.9084115,-27.134237282126143,0.09999999962747097,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s051,200,200,10000,10000,0.275,0.275,0.275,0.725,0.810229,-29.563157791308733,0.40000000037252903,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s052,200,200,10000,10000,0.02,0.02,0.02,0.98,0.9949375,-35.10242036766556,0.40000000037252903,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
