dataset,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects,min_genuine_samples_for_eer_lt_10pct
dsl,Scaled Manhattan Distance,browser_worker,0.14290588235294113,0.1430392156862745,0.14297254901960785,0.857091503267974,0.9113060588235291,0.000048827374073283286,0.4980392155474892,0.11372549028373231,not_available,not_available,Not reached,51,Not reached
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,0.04921372549019607,0.04921568627450979,0.049214705882352924,0.9507862360630521,0.9825338431372552,0.012347943098798128,125.94901960774088,6911.219607843159,not_available,not_available,Not reached,51,100
dsl,1D-CNN TFJS,browser_worker,0.3366666666666667,0.33656862745098043,0.33661764705882363,0.6633352556708957,0.7034459705882352,0.027704344482914114,282.5843137257239,11181.982352940986,not_available,not_available,Not reached,51,Not reached
