dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count,genuine_training_samples,evaluated_subjects,EER,completed_at
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,67.29166700006317,,,,,,,2.0,24.0,0.5549078314996869,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,56.17695800037836,,,,,,,3.0,20.0,0.5290927597829663,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,27.005124999959662,,,,,,,5.0,5.0,0.5904360902255639,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A001,train_and_infer,112.03037500035862,111.21991700019862,0.810458000159997,0.010005654322962926,1662894080.0,1662959616.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A003,train_and_infer,99.57387500026016,98.70641700035776,0.867457999902399,0.010709358023486408,1662959616.0,1663074304.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A004,train_and_infer,100.0094569999419,99.19866600012028,0.8107909998216201,0.010009765429896544,1663074304.0,1663074304.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A005,train_and_infer,94.80150000035792,93.86762500025725,0.9338750001006701,0.011529320988897163,1663074304.0,1663139840.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A006,train_and_infer,98.34012399960557,97.48058299965123,0.8595409999543335,0.010611617283386833,1663139840.0,1663139840.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A008,train_and_infer,79.48008299990761,78.67558299994926,0.8044999999583524,0.009932098764917931,1663139840.0,1663303680.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A009,train_and_infer,95.08345799986273,94.2221669997707,0.8612910000920238,0.010633222223358317,1663303680.0,1663303680.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A010,train_and_infer,109.59616599984656,108.75495800019053,0.8412079996560351,0.010385283946370803,1663303680.0,1663516672.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A011,train_and_infer,90.32179099995119,89.52170800012027,0.80008299983092,0.009877567899147162,1663516672.0,1663909888.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A013,train_and_infer,80.05233299991232,79.24937500001761,0.8029579998947156,0.009913061727095255,1663909888.0,1663909888.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A015,train_and_infer,98.54108399986217,97.72004200021911,0.8210419996430574,0.010136320983247621,1663909888.0,1663909888.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A017,train_and_infer,94.71275100031562,93.89441700022871,0.8183340000869066,0.01010288888996181,1663909888.0,1663926272.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A030,train_and_infer,80.1885000000766,79.34062499998618,0.8478750000904256,0.010467592593708958,1663926272.0,1663926272.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A031,train_and_infer,99.6154170002228,98.67808300032266,0.9373339999001473,0.011572024690125275,1663926272.0,1663926272.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A032,train_and_infer,86.35979100017721,85.55195799999638,0.8078330001808354,0.009973246915812783,1663926272.0,1663942656.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A035,train_and_infer,88.29566699978386,87.48445899982471,0.8112079999591515,0.010014913579742612,1663942656.0,1664581632.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,M001,train_and_infer,131.56462500000998,130.73308299999553,0.8315420000144513,0.010265950617462362,1666580480.0,1666760704.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,M002,train_and_infer,91.47250000023632,90.63700000024255,0.8354999999937718,0.010314814814737923,1666760704.0,1666777088.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,M003,train_and_infer,74.20754199984003,73.368291999941,0.8392499998990388,0.010361111109864677,1666777088.0,1666777088.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,M004,train_and_infer,94.88116600005014,94.0654999999424,0.8156660001077398,0.010069950618614073,1666777088.0,1666777088.0,384.0,,,,
