dataset,source_dataset,feature_mode,feature_set,Model,model_runtime,FAR,FRR,EER,Accuracy,AUC,Inference Time (ms/sample),UI Blocking Time (ms/test batch),Train Time (ms/subject),Browser Memory Before (bytes),Browser Memory After (bytes),Min Genuine Samples for EER < 10%,subjects
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,0.48398146272674364,0.4462962962962962,0.46513887951151994,0.5171467764060357,0.5208900570207847,0.0012946387739140458,0.1048657406870377,0.051248555556176814,1657724017.7777777,1657724624.5925925,Not reached,27
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,LightGBM Classifier,python_lightgbm,0.28878512420373403,0.3277777777777778,0.30828145099075593,0.7101051668952904,0.7132921468061005,0.010375379057725108,0.8404057036757338,95.944438259317,1665082861.0370371,1665157499.2592592,Not reached,27
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,1D-CNN TensorFlow,python_tensorflow_keras,0.45495206071266475,0.42037037037037034,0.4376612155415176,0.5459533607681756,0.5491328713343665,0.8133010402373003,65.87738425922133,842.3519768888481,1749755979.851852,1756038940.4444444,Not reached,27
